
16:10:30.197982 can0  RX - -  1C00007E   [0] 
16:10:30.207320 can0  TX - -  1C0004FE   [8]  00 00 00 00 00 00 00 01
16:10:30.210007 can0  RX - E  1C10847E   [0] 
16:10:30.218532 can0  TX - -  1C1084FE   [8]  00 00 00 00 00 00 00 00
16:10:30.221995 can0  RX - -  1F19047E   [0] 
16:10:30.240608 can0  TX - -  1F1904FE   [8]  00 00 00 00 00 00 00 00
16:10:30.245997 can0  RX - E  1E9D847E   [0] 
16:10:30.261779 can0  TX - -  1E9D84FE   [8]  00 00 00 00 00 00 00 00
16:10:30.266668 can0  RX - E  1C02047E   [8]  00 04 C6 A7 00 02 00 03
16:10:30.267740 can0  RX B E  1C02847E   [8]  00 00 00 97 01 01 40 10
16:10:30.267838 can0  RX - E  1C03047E   [8]  01 01 01 80 00 00 40 10
16:10:30.269250 can0  RX - E  1C03847E   [8]  00 00 40 10 01 08 00 10
16:10:30.325678 can0  TX - -  1C0384FE   [8]  00 04 C6 A7 00 02 83 00
16:10:30.330168 can0  RX - E  18000A03   [2]  40 03
16:10:30.336543 can0  TX - -  18000A02   [8]  40 03 00 00 00 08 00 01
16:10:30.342166 can0  RX - -  18000983   [2]  03 00
16:10:30.347679 can0  TX - -  18002082   [4]  02 00 00 00
16:10:30.350653 can0  RX - E  18002083   [8]  02 00 00 00 4D 4F 42 49
16:10:30.352125 can0  TX - -  18000982   [8]  03 00 00 00 00 03 00 01
16:10:30.354181 can0  RX - E  18000D03   [2]  01 01
16:10:30.358777 can0  TX - -  18002082   [4]  02 00 00 04
16:10:30.362648 can0  RX - -  18002083   [8]  02 00 00 04 4C 45 20 53
16:10:30.364236 can0  TX - -  18000D02   [3]  01 01 01
16:10:30.366190 can0  RX - -  18000D03   [2]  01 00
16:10:30.368762 can0  TX - -  18002082   [4]  02 00 00 08
16:10:30.374659 can0  RX - E  18002083   [8]  02 00 00 08 54 41 54 49
16:10:30.379737 can0  TX - -  18000D02   [3]  01 00 00
16:10:30.382181 can0  RX - -  18000D03   [2]  02 01
16:10:30.383832 can0  TX - -  18002082   [4]  02 00 00 0C
16:10:30.386583 can0  RX - E  18002083   [7]  02 00 00 0C 4F 4E 00
16:10:30.389931 can0  TX - -  18000D02   [3]  02 01 02
16:10:30.394188 can0  RX - E  18000D03   [2]  02 00
16:10:30.400251 can0  TX - -  18000D02   [3]  02 00 00
16:10:30.402182 can0  RX - -  18000D03   [2]  03 01
16:10:30.411241 can0  TX - -  18000D02   [3]  03 01 04
16:10:30.417310 can0  RX - -  18000D03   [2]  03 00
16:10:30.421155 can0  TX - -  18000D02   [3]  03 00 00
16:10:30.426178 can0  RX - E  18000D03   [2]  04 01
16:10:30.431175 can0  TX - -  18000D02   [2]  04 01
16:10:30.434342 can0  RX - -  18000983   [4]  80 02 00 00
16:10:30.441331 can0  TX - -  18000982   [8]  80 02 00 00 00 09 00 01
16:10:30.446896 can0  RX - E  18000983   [4]  80 02 00 09
16:10:30.447592 can0  RX - E  18002483   [4]  40 03 00 00
16:10:30.452579 can0  TX - -  18000982   [4]  80 02 00 09
16:10:30.454343 can0  RX - -  18000983   [4]  81 02 00 00
16:10:30.463606 can0  TX - -  18002482   [6]  40 03 00 00 00 02
16:10:30.466365 can0  RX - -  18002483   [4]  40 01 00 00
16:10:30.474538 can0  TX - -  18000982   [4]  81 02 00 00
16:10:30.478350 can0  RX - E  18000983   [4]  82 02 00 00
16:10:30.485782 can0  TX - -  18002482   [8]  40 01 00 00 00 0D 00 00
16:10:30.490363 can0  RX - -  18002483   [4]  40 01 01 00
16:10:30.496912 can0  TX - -  18000982   [4]  82 02 00 00
16:10:30.506886 can0  TX - -  18002482   [8]  40 01 01 00 00 05 00 00
16:10:30.517302 can0  RX - -  18002503   [2]  01 01
16:10:30.527029 can0  TX - -  18002502   [4]  01 01 01 01
16:10:30.530192 can0  RX - -  18002503   [2]  01 00
16:10:30.537089 can0  TX - -  18002502   [3]  01 00 00
16:10:30.542190 can0  RX - -  18002503   [2]  02 01
16:10:30.547065 can0  TX - -  18002502   [4]  02 01 02 01
16:10:30.550674 can0  RX - -  18002503   [2]  02 00
16:10:30.556985 can0  TX - -  18002502   [3]  02 00 00
16:10:30.562197 can0  RX B E  18002503   [2]  03 01
16:10:30.566967 can0  TX - -  18002502   [4]  03 01 02 06
16:10:30.570688 can0  RX - -  18002503   [2]  03 00
16:10:30.577254 can0  TX - -  18002502   [3]  03 00 00
16:10:30.582200 can0  RX - -  18002503   [2]  04 01
16:10:30.587324 can0  TX - -  18002502   [4]  04 01 02 06
16:10:30.590691 can0  RX - E  18002503   [2]  04 00
16:10:30.598453 can0  TX - -  18002502   [3]  04 00 00
16:10:30.602199 can0  RX - E  18002503   [2]  05 01
16:10:30.609359 can0  TX - -  18002502   [4]  05 01 02 08
16:10:30.617300 can0  RX - -  18002503   [2]  05 00
16:10:30.630586 can0  TX - -  18002502   [3]  05 00 00
