Art.-Nummer;Lokbezeichnung (sprechender Name, z.B. Glaskasten, plus m÷glichst vollst„ndige Betriebsnummer): 28-33 Zeichen auf CS2 sichtbar,(auf MS2 Auswahl m.NameDisplay);"Name Display MS+CS(MS2: 11-14,CS2:15 Buchst;auch klein+Umlaut)";Loktyp (Elok (E), Diesel (D), Dampf (S), kein (N));"NICHT PRGM:D=Delta (0 Fkt), M=Digital C90(<=1+4Fkt),M8=2 MotorolaDec;PRGM-BAR: LP=Zieco šberg.Dec oh.Snd, L3=šberg.Dec m.Snd, X3=Sp1-šberg.Dec m.Snd";Motorola Adresse;Symbol F0;Sym bol F1;Sym bol F2;Sym bol F3;Sym bol F4;Sym bol F5;Sym bol F6;Sym bol F7;Sym bol F8
16075;Schienenzeppelin - Replikat;ZEPPELIN;N;M;75;L;/;/;/;K;/;/;/;/
2600;BR 89 Start-Set;BR 89;S;M;20;L;/;/;/;/;/;/;/;/
26001;Mob.Vision ICE KameraVideobrille;ICE 2;E;LP;2;/;/;/;/;/;/;/;/;/
2600b;BR 260 Start-Set;BR 260;D;M;10;H;/;/;/;/;/;/;/;/
2601;BR 89  Start-Set;BR 89;S;M;20;L;/;/;/;/;/;/;/;/
2601b;BR 260 Start-Set;BR 260;D;M;10;H;/;/;/;/;/;/;/;/
2602;BR 89  Start-Set;BR 89;S;M;20;L;/;/;/;/;/;/;/;/
26020;Mob.Vision 20a MHI ICE KameraVideobrille;ICE 2;E;LP;2;/;/;/;/;/;/;/;/;/
2602b;BR 260 Start-Set;BR 260;D;M;10;H;/;/;/;/;/;/;/;/
2603;BR 89  Start-Set;BR 89;S;M;20;L;/;/;/;/;/;/;/;/
2603b;BR 260 Start-Set;BR 260;D;M;10;H;/;/;/;/;/;/;/;/
2610;BR 216;BR 216;D;M;20;L;/;/;/;/;/;/;/;/
2612;BR 216;BR 216;D;M;20;L;/;/;/;/;/;/;/;/
2620;BR 260;BR 260;D;M;10;H;/;/;/;/;/;/;/;/
26350;Adler, Histor.Personenzug mit Lok;ADLER;S;M;78;L;/;/;/;/;/;/;/;/
26351;Adler 2010, Histor.Personenzug mit Lok;ADLER 2010;S;LP;78;L;/;/;/;K;/;/;/;/
26355;Adler, Sonder-Ed. Museumsbrand 17.10.2005, Histor.Personenzug mit Lok;ADLER;S;LP;78;L;/;/;/;K;/;/;/;/
26455;E 69, MHI Sonderzug;E 69 LOKAL;E;M;24;L;/;/;/;K;/;/;/;/
2647;Em 3/3 Schweizer Gterzug;EM 3/3;D;M;70;L;/;/;/;/;/;/;/;/
26471;D1/3 'Limmat' Spanisch-Br÷tli-Bahn;LIMMAT;S;M;47;L;/;/;/;/;/;/;/;/
26504;Dampfspeicherlok Fa. 'Henkel' Werkseisenbahn, Zugpackung;HENKEL;S;M;4;L;/;/;/;K;/;/;/;/
26506;S 3/6 18434 Rheingold Zugpackung;RHEINGOLD;S;M;18;L;R;/;C;G;/;/;/;/
26507;BR 143.606-2;BR 143 606-2;E;M;43;L;/;/;/;K;/;/;/;/
26508;BR 086 521-2 'Nahverkehr' Zugpackung;BR 086 521-2;S;M;70;L;/;/;/;K;/;/;/;/
26509;E 18 'Fernschnellzug Berlin-Leipzig' Zugpackung;E 18 40;E;M;18;L;/;1;2;K;/;/;/;/
26510;BR 714 033-8 (1), 'Tunnelrettungszug' Zugpackung;TUNNEL 1;D;M;33;L;1;2;H;K;/;/;/;/
26510b;BR 714 033-8 (2), 'Tunnelrettungszug' Zugpackung;TUNNEL 2;D;M;34;L;1;2;D;D;/;/;/;/
26511;BR 140 Nahverkehrszug;BR 140 859-0;E;M;40;L;/;/;/;/;/;/;/;/
26512;BR 110 419-9, 'Olympia';BR 110 419-9;E;M;10;L;/;/;/;K;/;/;/;/
26513;BR 101 Sonderzug MONUMENT;MONUMENT;E;M;1;L;/;A;F;K;/;/;/;/
26517;BR 182, SLR Sonderzug;BR 182 SLR;E;M;16;L;/;A;D;K;/;/;/;/
26518;BR 182, Cayenne Sonderzug;BR 182 CAYENNE;E;M;16;L;/;A;D;K;/;/;/;/
26522;Autozug Maybach;MAYBACH;D;LP;22;L;/;/;/;K;/;/;/;/
26526;BR 218.473-7, 'K÷nig Ludwig II', Sonderlackierung;LUDWIG II;D;M;16;L;/;D;D;K;/;/;/;/
26529;K÷f II EMMA Bauzug 'Leonhard Weiss', Ep.V;K™F II EMMA;D;LP;23;L;/;/;/;K;/;/;/;/
26530;Serie 25 Belg.Staatsbahn, Wendezug;S. 25;E;M;25;L;/;/;/;K;/;/;/;/
26531;BR 184.003-2, 'Rollende Landstra˜e', Europ. Transitzug;BR 184 003-2;E;M;41;L;/;/;/;/;/;/;/;/
26532;Ae 6/6 'Sturmholz' Sonderzug;AE 6/6 11428;E;M;66;L;/;2;/;K;/;/;/;/
26533;BR 146.1 ME 'metronom', Ep.V;ME 146;E;LP;24;L;/;/;/;K;/;/;/;/
26538;BR 185, Nahverkehr CFL, Ep.V;BR 185 CFL;E;LP;24;L;/;/;/;K;/;/;/;/
26539;Ae 8/14, SBB-Oldtimer-Zug;AE 8/14 11801;E;M;14;L;/;/;/;/;/;/;/;/
26541;BR 280 Nahverkehrszug;BR 280;D;LP;24;L;/;/;/;K;/;/;/;/
26544;Re 484, 'Cisalpino', SBB, Ep.V;RE 484;E;LP;24;L;/;/;/;K;/;/;/;/
26545;R÷hrentransportzug 'RTS' K™F, Ep.IV;RTS K™F;D;LP;23;L;/;/;/;K;/;/;/;/
26548;ER 20 'WLE' Westf„lische Landes-Eisenbahn Zugpackung;WLE;D;LP;24;L;/;/;/;K;/;/;/;/
