Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,23.270000,27.011000,0.000000,top
C2,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,42.693400,31.735200,0.000000,top
C3,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,13.737400,15.936400,0.000000,top
C6,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,21.746000,6.691000,90.000000,top
C7,1nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,37.003800,7.605200,0.000000,top
D1,US1M,D_SMA,39.493000,28.992000,0.000000,top
D2,US1M,D_SMA,39.493000,21.981600,0.000000,top
D3,US1M,D_SMA,39.493000,25.486800,180.000000,top
D4,US1M,D_SMA,39.493000,18.476400,180.000000,top
D5,US1M,D_SMA,46.528800,27.239400,0.000000,top
D6,1N4148,D_SOD-323F,23.262400,23.074000,0.000000,top
D7,1N4148,D_SOD-323F,23.262400,25.029600,180.000000,top
D8,1N4148,D_SOD-323F,34.895600,19.424800,90.000000,top
D9,B5819W,D_SOD-123,10.105200,5.928800,0.000000,top
D10,LEDR,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,14.321600,5.014400,180.000000,top
D13,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,45.208000,47.711800,0.000000,top
Q1,MMBT5551,SOT-23,9.089200,27.442600,0.000000,top
R0,820,R_0805_HandSolderingII,34.971800,15.555400,90.000000,top
R1,820,R_0805_HandSolderingII,37.638800,14.183800,90.000000,top
R2,390,R_0805_HandSolderingII,40.788400,4.100000,90.000000,top
R3,22,R_0805_HandSolderingII,23.262400,29.144400,0.000000,top
R4,4k7,R_0805_HandSolderingII,14.448600,26.292600,90.000000,top
R5,82,R_0805_HandSolderingII,19.046000,27.468000,90.000000,top
R6,4k7,R_0805_HandSolderingII,16.760000,27.468000,90.000000,top
R7,1k,R_0805_HandSolderingII,12.111800,26.299600,90.000000,top
R8,1K,R_1206_HandSolderingII,3.755200,24.267600,0.000000,top
R9,1K,R_1206_HandSolderingII,3.755200,27.137800,0.000000,top
R10,1k,R_1206_HandSolderingII,3.750000,29.550000,0.000000,top
R11,1k,R_1206_HandSolderingII,3.750000,31.950000,0.000000,top
R12,1k,R_1206_HandSolderingII,3.750000,34.350000,0.000000,top
R13,1k,R_1206_HandSolderingII,3.750000,36.750000,0.000000,top
R14,1k,R_1206_HandSolderingII,3.750000,39.150000,0.000000,top
R15,1k5,R_0805_HandSolderingII,18.487200,3.896800,0.000000,top
R16,4k7,R_0805_HandSolderingII,10.029000,3.769800,0.000000,top
R17,10k,R_0805_HandSolderingII,32.914400,7.579800,0.000000,top
R18,560,R_0805_HandSolderingII,48.800000,42.600000,90.000000,top
R19,4k7,R_0805_HandSolderingII,13.331000,29.627000,0.000000,top
R20,3k3,R_0805_HandSolderingII,2.200000,12.700000,0.000000,top
R21,3k3,R_0805_HandSolderingII,6.600000,12.700000,0.000000,top
U2,7805,TO-252-2,5.958200,18.272200,180.000000,top
U3,LM393,SOIC-8_3.9x4.9mm_P1.27mm,17.064800,34.630800,0.000000,top
U4,78L05,SOT-89-3,47.163800,31.532000,0.000000,top
