"Comment","Designator","Footprint","LCSC Part #"
"100nF","C6,C1,C3,C2","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C49678"
"1nF","C7","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C46653"
"US1M","D4,D3,D2,D5,D12,D11,D1","D_SMA","C412437"
"1N4148","D6,D7,D8","D_SOD-323F","C2128"
"B5819W","D9","D_SOD-123","C8598"
"LEDR","D10","LED_0805","C84256"
"LED","D13","LED_0805","C34499"
"MMBT5551","Q1","SOT-23","C2145"
"820","R1,R0","R_0805_HandSolderingII","C17837"
"390","R2","R_0805_HandSolderingII","C17655"
"22","R3","R_0805_HandSolderingII","C17561"
"82","R5","R_0805_HandSolderingII","C17841"
"1k","R7","R_0805_HandSolderingII","C17513"
"1K","R9,R8","R_1206_HandSolderingII","C4410"
"1k","R11,R12,R13,R14,R10","R_1206_HandSolderingII","C4410"
"1k5","R15","R_0805_HandSolderingII","C4310"
"4k7","R16,R6,R4,R19","R_0805_HandSolderingII","C17673"
"10k","R17,R23","R_0805_HandSolderingII","C17414"
"560","R18","R_0805_HandSolderingII","C28636"
"3k3","R20,R21","R_0805_HandSolderingII","C26010"
"39k","R22","R_0805_HandSolderingII","C25826"
"7805","U2","TO-252-2","C58069"
"LM393","U3","SOIC-8_3.9x4.9mm_P1.27mm","C7955"
"78L05","U4","SOT-89-3","C71136"
