Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0805_HandSoldering",143.573500,-112.975000,180.000000,top
"C3","18pF","C_0805_HandSoldering",141.020800,-99.910900,90.000000,top
"C4","18pF","C_0805_HandSoldering",144.698400,-97.497900,180.000000,top
"C5","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",150.532700,-99.161600,0.000000,top
"C6","100nF","C_0805_HandSoldering",132.207000,-112.776000,0.000000,top
"C8","100nF","C_0805_HandSoldering",171.000000,-104.724200,90.000000,top
"C9","100nF","C_0805_HandSoldering",140.843000,-122.961400,-90.000000,top
"C10","100nF","C_0805_HandSoldering",166.852600,-125.857000,90.000000,top
"C11","100nF","C_0805_HandSoldering",162.585400,-125.933200,90.000000,top
"C12","100nF","C_0805_HandSoldering",160.578800,-125.933200,-90.000000,top
"C13","100nF","C_0805_HandSoldering",151.942800,-125.933200,-90.000000,top
"C14","100nF","C_0805_HandSoldering",159.004000,-104.114600,90.000000,top
"C16","100nF","C_0805_HandSoldering",113.639600,-120.269000,-90.000000,top
"C17","100nF","C_0805_HandSoldering",113.538000,-125.374400,-90.000000,top
"C18","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",103.600000,-129.750000,-90.000000,top
"C19","100nF","C_0805_HandSoldering",104.495600,-114.731800,180.000000,top
"C100","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",113.125000,-91.236800,180.000000,top
"C101","10n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",106.387500,-100.550000,180.000000,top
"C102","220uF","CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder",116.400000,-100.850000,270.000000,top
"D100","SS54","D_SMA",106.324400,-96.088200,-90.000000,top
"L100","15uH","L_10.4x10.4_H4.8",108.050000,-106.900000,0.000000,top
"R1","10k","R_0805_HandSolderingII",130.422800,-95.478600,0.000000,top
"R2","680","R_0805_HandSolderingII",132.791200,-101.701600,0.000000,top
"R3","680","R_0805_HandSolderingII",132.791200,-99.618800,0.000000,top
"R4","4k7","R_0805_HandSolderingII",152.615900,-105.981500,-90.000000,top
"R5","680","R_0805_HandSolderingII",132.791200,-97.536000,0.000000,top
"R6","3k3","R_0805_HandSolderingII",136.500000,-115.000000,180.000000,top
"R7","3k3","R_0805_HandSolderingII",162.306000,-108.381800,0.000000,top
"R9","3k3","R_0805_HandSolderingII",166.425000,-100.225000,0.000000,top
"R10","3k3","R_0805_HandSolderingII",171.000000,-99.500000,90.000000,top
"R11","120","R_1206_HandSolderingII",137.871200,-123.215400,90.000000,top
"R12","270","R_0805_HandSolderingII",149.631400,-125.907800,90.000000,top
"R14","3k3","R_0805_HandSolderingII",169.557700,-93.814900,180.000000,top
"R15","3k3","R_0805_HandSolderingII",169.583100,-95.961200,0.000000,top
"R16","270","R_0805_HandSolderingII",170.053000,-131.191000,-90.000000,top
"R17","49.9","R_0805_HandSolderingII",154.051000,-125.857000,-90.000000,top
"R18","49.9","R_0805_HandSolderingII",156.337000,-125.857000,-90.000000,top
"R19","49.9","R_0805_HandSolderingII",158.496000,-125.857000,-90.000000,top
"R20","49.9","R_0805_HandSolderingII",164.769800,-125.831600,-90.000000,top
"R21","120","R_1206_HandSolderingII",122.936000,-115.392200,0.000000,top
"R22","3k3","R_0805_HandSolderingII",128.016000,-103.835200,-90.000000,top
"R23","3k3","R_0805_HandSolderingII",128.016000,-110.998000,90.000000,top
"R24","1k5","R_0805_HandSolderingII",126.450000,-118.200000,0.000000,top
"R25","47k","R_0805_HandSolderingII",121.950000,-118.200000,180.000000,top
"R26","240","R_0805_HandSolderingII",110.286800,-124.129800,-90.000000,top
"R27","2k2","R_0805_HandSolderingII",111.658400,-116.027200,0.000000,top
"R28","39k","R_0805_HandSolderingII",110.286800,-119.583200,90.000000,top
"R101","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",119.837200,-97.993200,90.000000,top
"R102","5k6","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",119.837200,-94.411800,90.000000,top
"R103","270","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",118.050000,-94.400000,-90.000000,top
"U3","SN65HVD230","SOIC-8_3.9x4.9mm_P1.27mm",144.761800,-125.094800,180.000000,top
"U4","PIC18F25K80","ssop-28",145.846800,-107.200700,180.000000,top
"U7","TPS5430DDA","TI_SO-PowerPAD-8_ThermalVias",110.921800,-96.367600,90.000000,top
"U8","CD4504","SO-16_3.9x9.9mm_P1.27mm",119.837200,-123.698000,0.000000,top
"U9","LM317","TO-252-2",105.700000,-120.650000,-90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",144.843500,-100.393500,0.000000,top
