Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_HandSoldering",143.573500,-112.839500,180.000000,top
"C3","18pF","C_0805_HandSoldering",141.020800,-99.910900,90.000000,top
"C4","18pF","C_0805_HandSoldering",144.698400,-97.497900,180.000000,top
"C6","100nF","C_0805_HandSoldering",132.207000,-112.776000,0.000000,top
"C8","100nF","C_0805_HandSoldering",171.000000,-104.724200,90.000000,top
"C9","100nF","C_0805_HandSoldering",140.843000,-122.961400,270.000000,top
"C10","100nF","C_0805_HandSoldering",166.852600,-125.857000,90.000000,top
"C11","100nF","C_0805_HandSoldering",162.585400,-125.933200,90.000000,top
"C12","100nF","C_0805_HandSoldering",160.578800,-125.933200,270.000000,top
"C13","100nF","C_0805_HandSoldering",151.942800,-125.933200,270.000000,top
"C14","100nF","C_0805_HandSoldering",158.457900,-100.584000,0.000000,top
"C16","100nF","C_0805_HandSoldering",110.045500,-119.557800,270.000000,top
"C17","100nF","C_0805_HandSoldering",110.045500,-125.285500,270.000000,top
"C19","100nF","C_0805_HandSoldering",107.213400,-99.923600,270.000000,top
"R1","10k","R_0805_HandSolderingII",130.323600,-95.605600,0.000000,top
"R2","680","R_0805_HandSolderingII",117.221000,-96.088200,270.000000,top
"R3","680","R_0805_HandSolderingII",120.523000,-96.139000,270.000000,top
"R4","4k7","R_0805_HandSolderingII",152.615900,-105.981500,270.000000,top
"R5","680","R_0805_HandSolderingII",123.799600,-96.113600,270.000000,top
"R6","3k3","R_0805_HandSolderingII",136.500000,-115.000000,180.000000,top
"R7","3k3","R_0805_HandSolderingII",159.766000,-104.140000,90.000000,top
"R9","3k3","R_0805_HandSolderingII",166.500000,-100.500000,0.000000,top
"R10","3k3","R_0805_HandSolderingII",171.000000,-99.500000,90.000000,top
"R11","120","R_1206_HandSolderingII",137.871200,-123.215400,90.000000,top
"R12","270","R_0805_HandSolderingII",149.631400,-125.907800,90.000000,top
"R13","0","R_0805_HandSolderingII",170.053000,-136.525000,270.000000,top
"R14","3k3","R_0805_HandSolderingII",169.557700,-93.814900,180.000000,top
"R15","3k3","R_0805_HandSolderingII",169.583100,-95.961200,0.000000,top
"R16","270","R_0805_HandSolderingII",170.053000,-131.191000,270.000000,top
"R17","49.9","R_0805_HandSolderingII",154.051000,-125.857000,270.000000,top
"R18","49.9","R_0805_HandSolderingII",156.337000,-125.857000,270.000000,top
"R19","49.9","R_0805_HandSolderingII",158.496000,-125.857000,270.000000,top
"R20","49.9","R_0805_HandSolderingII",164.769800,-125.831600,270.000000,top
"R21","120","R_1206_HandSolderingII",123.494800,-115.722400,270.000000,top
"R22","3k3","R_0805_HandSolderingII",128.016000,-104.974400,270.000000,top
"R23","3k3","R_0805_HandSolderingII",128.016000,-110.998000,90.000000,top
"R24","1k5","R_0805_HandSolderingII",123.850400,-124.329200,90.000000,top
"R25","47k","R_0805_HandSolderingII",124.739400,-119.989600,180.000000,top
"R26","240","R_0805_HandSolderingII",114.376200,-109.067600,270.000000,top
"R27","2k2","R_0805_HandSolderingII",111.836200,-99.898200,270.000000,top
"R28","39k","R_0805_HandSolderingII",114.401600,-104.470200,270.000000,top
"U3","SN65HVD230","SOIC-8_3.9x4.9mm_P1.27mm",144.761800,-125.094800,270.000000,top
"U9","LM317","TO-252-2",109.524800,-108.102400,270.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",144.843500,-100.393500,0.000000,top
