Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C16, C17, C19, C6, C8, C9",0805,12,100nF,C49678
"C100, C18, C5",1206,3,10uF,C13585
C101,0603,1,10n,C57112
C102,CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder,1,220uF,C116743
"C3, C4",0603,2,18pF,C1647
D100,D_SMA,1,SS54,C22452
"J4, J5",Conn16,2,~,C2938437
L100,L_10.4x10.4_H4.8,1,15uH,C225048
R1,0805,1,10k,C17414
"R10, R14, R15, R22, R23, R6, R7, R9",0805,8,3k3,C26010
R101,0603,1,10k,C25804
R102,0603,1,5k6,C23189
"R103, R12, R16",0603,3,270,C22966
"R11, R21",1206,2,120,C17909
"R17, R18, R19, R20",0805,4,49.9,C17720
"R2, R3, R5",0805,3,680,C17798
R24,0805,1,1k5,C4310
R25,0805,1,47k,C17713
R26,0603,1,240,C23350
R27,0603,1,2k2,C4190
R28,0603,1,39k,C23153
R4,0805,1,4k7,C17673
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,C12084
U4,SSOP-28_5.3x10.2mm_P0.65mm,1,PIC18F25K80,C26838
U7,TI_SO-PowerPAD-8_ThermalVias,1,TPS5430DDA,C9864
U8,SOIC-16_3.9x9.9mm_P1.27mm,1,CD4504,C151885
U9,TO-252-2,1,LM317,C75510
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C13738
